texto,emocao
Hoje é um dia comum.,0
Nada de novo aconteceu.,0
É apenas um dia normal.,0
Hoje é um dia comum.,0
Eu só estou aqui sentado.,0
Está tudo bem.,0
Nada de novo aconteceu.,0
Nada de novo aconteceu.,0
Hoje é um dia comum.,0
Está tudo bem.,0
Hoje é um dia comum.,0
Eu só estou aqui sentado.,0
É apenas um dia normal.,0
Eu só estou aqui sentado.,0
Está tudo bem.,0
Nada de novo aconteceu.,0
Eu só estou aqui sentado.,0
Hoje é um dia comum.,0
Nada de novo aconteceu.,0
Hoje é um dia comum.,0
É apenas um dia normal.,0
Hoje é um dia comum.,0
É apenas um dia normal.,0
Nada de novo aconteceu.,0
Está tudo bem.,0
Eu só estou aqui sentado.,0
Está tudo bem.,0
Está tudo bem.,0
É apenas um dia normal.,0
Hoje é um dia comum.,0
Eu só estou aqui sentado.,0
É apenas um dia normal.,0
Está tudo bem.,0
Eu só estou aqui sentado.,0
É apenas um dia normal.,0
Eu só estou aqui sentado.,0
Hoje é um dia comum.,0
Hoje é um dia comum.,0
Hoje é um dia comum.,0
Hoje é um dia comum.,0
É apenas um dia normal.,0
Eu só estou aqui sentado.,0
É apenas um dia normal.,0
Hoje é um dia comum.,0
Está tudo bem.,0
Está tudo bem.,0
Hoje é um dia comum.,0
É apenas um dia normal.,0
Nada de novo aconteceu.,0
Eu só estou aqui sentado.,0
Eu só estou aqui sentado.,0
Hoje é um dia comum.,0
Nada de novo aconteceu.,0
Nada de novo aconteceu.,0
Hoje é um dia comum.,0
Hoje é um dia comum.,0
É apenas um dia normal.,0
Hoje é um dia comum.,0
Nada de novo aconteceu.,0
Hoje é um dia comum.,0
Nada de novo aconteceu.,0
É apenas um dia normal.,0
Hoje é um dia comum.,0
Hoje é um dia comum.,0
Hoje é um dia comum.,0
Está tudo bem.,0
Está tudo bem.,0
Eu só estou aqui sentado.,0
Nada de novo aconteceu.,0
Eu só estou aqui sentado.,0
Eu só estou aqui sentado.,0
Nada de novo aconteceu.,0
É apenas um dia normal.,0
Nada de novo aconteceu.,0
Hoje é um dia comum.,0
Hoje é um dia comum.,0
É apenas um dia normal.,0
Hoje é um dia comum.,0
Eu só estou aqui sentado.,0
Está tudo bem.,0
Nada de novo aconteceu.,0
Eu só estou aqui sentado.,0
Nada de novo aconteceu.,0
Nada de novo aconteceu.,0
Hoje é um dia comum.,0
É apenas um dia normal.,0
Nada de novo aconteceu.,0
Eu só estou aqui sentado.,0
Eu só estou aqui sentado.,0
Eu só estou aqui sentado.,0
Eu só estou aqui sentado.,0
É apenas um dia normal.,0
Nada de novo aconteceu.,0
Hoje é um dia comum.,0
Hoje é um dia comum.,0
Eu só estou aqui sentado.,0
Nada de novo aconteceu.,0
Eu só estou aqui sentado.,0
Eu só estou aqui sentado.,0
É apenas um dia normal.,0
Nada de novo aconteceu.,0
Está tudo bem.,0
Hoje é um dia comum.,0
Hoje é um dia comum.,0
Nada de novo aconteceu.,0
Eu só estou aqui sentado.,0
Hoje é um dia comum.,0
É apenas um dia normal.,0
Eu só estou aqui sentado.,0
É apenas um dia normal.,0
Está tudo bem.,0
É apenas um dia normal.,0
Está tudo bem.,0
Nada de novo aconteceu.,0
Hoje é um dia comum.,0
Eu só estou aqui sentado.,0
É apenas um dia normal.,0
Nada de novo aconteceu.,0
Hoje é um dia comum.,0
Nada de novo aconteceu.,0
